epoch,train_loss,val_loss,train_acc,val_acc,lr
0,2.480892130737305,1.9706538013458252,0.14106,0.2209,0.1
1,1.9107541967773438,1.8709983364105225,0.2243,0.2567,0.1
2,1.7302369387817382,1.7169982189178468,0.32124,0.3474,0.1
3,1.5184109859466552,1.5754966249465943,0.42538,0.405,0.1
4,1.2374090779113769,1.4872057195663453,0.5506,0.4957,0.1
5,1.042826271381378,1.0617005455970765,0.63504,0.6208,0.1
6,0.9179201783370972,1.2970393698692322,0.68688,0.5996,0.1
7,0.8316207377243042,0.9854109004974365,0.72162,0.6879,0.1
8,0.77609741481781,1.0860892321586608,0.74558,0.6369,0.1
9,0.7184767951774598,0.9405069538116455,0.76448,0.7159,0.1
10,0.6849539709472656,0.9139291669845581,0.77788,0.72,0.1
11,0.6534142451667786,0.8629509674072265,0.78836,0.7224,0.1
12,0.6352937711524963,0.8682928304672242,0.79348,0.7242,0.1
13,0.6142819797134399,1.1925899925231933,0.8015,0.654,0.1
14,0.6038917457199097,0.7869612534046173,0.80524,0.7528,0.1
15,0.5995112521266938,0.8445658227920533,0.80422,0.746,0.1
16,0.5844204964256287,0.7806145326137542,0.81238,0.7524,0.1
17,0.5697665734863281,0.7506697992324829,0.81684,0.7679,0.1
18,0.5548344221687317,0.8934551575660705,0.82212,0.72,0.1
19,0.5497130353927613,0.7719410049438477,0.8222,0.7604,0.1
20,0.527803980331421,0.744288881111145,0.8317,0.7637,0.1
21,0.527981302947998,1.0736682920455933,0.82892,0.6886,0.1
22,0.5204568263626098,0.7797752716064453,0.83094,0.767,0.1
23,0.5124507282066345,0.863368943977356,0.83638,0.7457,0.1
24,0.5020662480545044,2.1524922611236574,0.83724,0.5584,0.1
25,0.502005942363739,0.8376490272521973,0.83856,0.76,0.1
26,0.49085223402023315,0.6133679880142212,0.84184,0.8003,0.1
27,0.485884919052124,0.6638856815338134,0.8423,0.7838,0.1
28,0.48660371227264404,0.7387730088233948,0.84268,0.7709,0.1
29,0.479347686252594,0.7630582996368408,0.84418,0.7596,0.1
30,0.46851747434616087,0.7563988367080688,0.84702,0.7763,0.1
31,0.4746087211036682,0.921219128894806,0.8458,0.7396,0.1
32,0.45681352281570436,0.7806568640708923,0.85146,0.7683,0.1
33,0.46107082258224485,0.8146629741668702,0.85022,0.7549,0.1
34,0.4677277213096619,0.7311496545791626,0.8482,0.7808,0.1
35,0.45095973417282104,0.8629875123977662,0.85292,0.7364,0.1
36,0.4600824084472656,0.6780310008049011,0.85226,0.7893,0.1
37,0.4504566857528687,0.9257179563999176,0.85308,0.7109,0.1
38,0.4558099436378479,0.5478252153873444,0.8529,0.8226,0.1
39,0.4388258705329895,0.7386614342689514,0.85832,0.7694,0.1
40,0.4501992644405365,1.0138206416130067,0.85394,0.7227,0.1
41,0.44123403405189515,0.7443864505290985,0.85662,0.773,0.1
42,0.4412376314353943,0.6913044143676758,0.85612,0.7813,0.1
43,0.44579094219207765,0.49863992614746094,0.8559,0.8368,0.1
44,0.436125470161438,1.0008133832931518,0.85688,0.7072,0.1
45,0.4390296006965637,0.7248522723197937,0.8573,0.7785,0.1
